,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.8398467254638672,0.00294917139353215,0.3503566540551908,0.014385845810976421,0.8651340993245443,0.00807331753852745,0.3479021659919194,0.021163776843212558
lr-0.0001,0.8844827524820964,0.0020721589459132012,0.2735664508559486,0.006763593094794043,0.8727969360351562,0.0066361892322769934,0.331294613579909,0.006799991360588935
lr-0.005,0.8379310607910156,0.024328752328290643,0.3377378729256717,0.03497213587399402,0.8360152943929036,0.014779544215131581,0.3733781345543407,0.004192683571979241
lr-0.05,0.8390804545084637,0.03396643413335098,0.34686080939841996,0.05793124071058881,0.8406129964192708,0.01858139151803752,0.3794651201793126,0.035198768046653485
lr-0.002,0.8655172475179036,0.017422405272526018,0.29357225854288455,0.024254957000813353,0.8704980723063152,0.004785433883625067,0.31981489629972554,0.012621748800836066
lr-0.001,0.875287348429362,0.016547322303014464,0.2819524509888707,0.03061264265908819,0.8659003702799479,0.003511569575179947,0.34184514731168747,0.010353309963163157
lr-0.02,0.8400382995605469,0.008703322904311951,0.3482907457785173,0.01560368815499681,0.8521072642008463,0.009290692612735057,0.36486400415500003,0.011608717010626688
lr-0.01,0.832950185139974,0.004954987992708479,0.3655692218831091,0.008796370138651933,0.8429118855794271,0.0026544845025767397,0.3870290908075514,0.0228413071177558
lr-0.0005,0.905363972981771,0.0167194032070289,0.21908010294040045,0.027939883478637566,0.8712643686930338,0.010020450501228061,0.3410572022909209,0.005993990836016081
lr-0.0002,0.8973179880777994,0.008154731736156539,0.24209548600695352,0.013147182128766713,0.8812260437011719,0.0035115362777724092,0.3350191552724157,0.004770139248649837
