,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std
lr-5e-05,0.8337164815266928,0.007717730321030175,0.3571471568309899,0.019455953944923,0.8643678029378256,0.003981704729700253,0.3410991774428458,0.01837024531578298
lr-0.0001,0.8783525085449219,0.004954995366865965,0.27942876102346365,0.0036031774675893266,0.8743295033772785,0.003511569575179959,0.32084624043532783,0.00936932972409309
lr-0.005,0.8329501851399739,0.027111166952953177,0.3546468598373009,0.043083069559046144,0.8498084259033204,0.0013272642754532903,0.3605235261576516,0.0022903116138523545
lr-0.05,0.7848659006754556,0.08594661639774274,0.6067928726022892,0.4295102976594452,0.7923371632893881,0.09713382313977352,0.4462815764404478,0.1674808823934852
lr-0.002,0.8549808502197266,0.010091639681654128,0.32538743308096213,0.019449146597776117,0.8521072642008463,0.008703296035082686,0.3671161901383173,0.023563603043252355
lr-0.001,0.8697318013509115,0.017051938849372967,0.2906842010039272,0.04339286138748295,0.8590038299560546,0.012661093367863797,0.3680964679945083,0.02556810088420946
lr-0.02,0.8444444529215495,0.012490380432399844,0.33941086322972264,0.022607756672429948,0.850574696858724,0.003981748778030095,0.36140424119574677,0.008402782816820113
lr-0.01,0.8273946126302083,0.016510686953988708,0.35526769323782487,0.01954314603015168,0.8367816162109376,0.013793106079101558,0.38408484842096063,0.011470599538783939
lr-0.0005,0.8825670623779297,0.01436011743776225,0.25626224351651744,0.021679453217643346,0.8827586110432942,0.003981748778030159,0.30533278946365633,0.013233517336100162
lr-0.0002,0.9076628112792969,0.008295269576593687,0.22751798593636716,0.014146687061082665,0.8812260437011719,0.009290717783183638,0.35041773815949756,0.009987433246931595
