,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.0001,0.8818007405598959,0.004157555540080853,0.2633968490994338,0.011698142180044148,0.8643678029378256,0.006896553039585946,0.31880516629843486,0.002455067184811519,0.9461393393805745,0.00427893421997816,0.9312249722584068,0.0019075580859235833
lr-0.0002,0.9044061279296876,0.007389764196280802,0.22745297765641503,0.017967883985107642,0.8659003702799479,0.013856813805512219,0.31972991213912055,0.028114933362852743,0.9592522301177463,0.007138184694361949,0.9373602869043599,0.0049551935380863195
lr-0.0005,0.8965517171223958,0.023074518955585595,0.24586101874257582,0.027115630850686214,0.8743294779459635,0.0070231058528931675,0.307397074287846,0.017678888922563418,0.9522781229685645,0.010146528986670985,0.9384940737524324,0.006515759657499295
lr-0.001,0.8718390655517578,0.022435882031894457,0.28890185645132355,0.0440878386199202,0.8467432657877604,0.025322168265617583,0.3340704643300602,0.011374991485473131,0.9331446907913342,0.020095532136084344,0.9231839307827151,0.007062200036028335
lr-0.002,0.8620689646402995,0.015812431952856795,0.31287831095131957,0.02955088515601731,0.8436781565348307,0.012799481300857382,0.3481206801675614,0.02868128151430715,0.92264457009716,0.015442760881087791,0.9186085781830462,0.010017459632263116
lr-0.005,0.8423371887207032,0.012490370486055042,0.3402497965278048,0.01917069431195442,0.8398467254638673,0.0047854461004336254,0.3494192578253292,0.011850592642337449,0.9060290962867062,0.011585633439179756,0.9146604268184815,0.005036844452147602
lr-0.01,0.8363984680175781,0.011838705328449143,0.3539607151891246,0.01389696135455921,0.8306513214111328,0.012661065662735971,0.3709875976755505,0.011708480217941738,0.89804202990709,0.008504395355965984,0.904207072900082,0.008922915143163644
lr-0.02,0.8463601684570312,0.017529509806236312,0.3310196950128584,0.033320215146345145,0.8436781565348307,0.010020450501228061,0.34749697893857956,0.014080182335008488,0.9115526937686388,0.016348312558350602,0.9184155931876298,0.007813919031949675
lr-0.05,0.7932950337727864,0.06540709750893127,0.4395386827714516,0.13664679059742754,0.7854405975341797,0.09606702948704399,0.44137665771302714,0.15962678237430397,0.7670520706815598,0.22266782727884843,0.8146700760682523,0.17440907575869116
lr-5e-05,0.8478927357991536,0.0046453368674269305,0.33875796234968947,0.0037718073260472208,0.8574712626139323,0.008288604042554807,0.32374600250096547,0.003748779894569935,0.9062339766904949,0.0032918130967704248,0.9289734806452131,0.0026465533936216984
