transferring data
Tue Jul  6 16:20:03 PDT 2021

Finished transferring
Tue Jul  6 16:20:09 PDT 2021

Adas: Argument Parser Options
---------------------------------------------
    config              : PostTrainingConfigs/AJ-Lymph_transformed_testing/AdamP/lr-0.001-config-AdamP.yaml
    data                : /localscratch/zhan8425.7068009.0        
    output              : ImageNet_post_trained/AJ-Lymph_transformed/AdamP/output/fine_tuning
    checkpoint          : ImageNet_post_trained/AJ-Lymph_transformed/AdamP/checkpoint/fine_tuning/lr-0.001
    resume              : None                                    
    pretrained_model    : ImageNet                                
    freeze_encoder      : 1                                       
    root                : .                                       
    save_freq           : 200                                     
    cpu                 : 0                                       
    gpu                 : 0                                       
    mpd                 : 0                                       
    dist_url            : tcp://127.0.0.1:23456                   
    dist_backend        : nccl                                    
    world_size          : -1                                      
    rank                : -1                                      
---------------------------------------------
Adas: Output dir ImageNet_post_trained/AJ-Lymph_transformed/AdamP/output/fine_tuning does not exist, building
Adas: Notice: early stop will not be used as it was set to -1.0, training till completion
Adas: Experiment Configuration
---------------------------------------------
    dataset              AJ-Lymph_transformed
    network              ResNet18            
    optimizer            AdamP               
    scheduler            None                
    level                L3Only              
    color_kwargs         {'augmentation': 'Color-Distortion', 'distortion': 0.3}
    degree_of_rotation   45                  
    vertical_flipping    0.5                 
    horizontal_flipping  0.5                 
    horizontal_shift     0.1                 
    vertical_shift       0.1                 
    gaussian_blur        0                   
    kernel_size          9                   
    variance             0.1                 
    cutout               0                   
    n_holes              1                   
    cutout_length        16                  
    init_lr              0.001               
    early_stop_threshold -1.0                
    optimizer_kwargs     {'weight_decay': 0.0005}
    scheduler_kwargs     {'gamma': 0.5, 'step_size': 20.0}
    p                    1                   
    start_trial          0                   
    n_trials             3                   
    num_workers          4                   
    max_epochs           200                 
    mini_batch_size      32                  
    loss                 cross_entropy       
    early_stop_patience  10                  
---------------------------------------------
Adas: Pytorch device is set to cuda
AdamP on AJ-Lymph_transformed: T 1/3 | E 1/200 Ended | E Time: 4.164s | ~Time Left: 828.559s |  Train Loss: 1.5377 | Train Acc. 39.4649% | Test Loss: 16.8292 | Test Acc. 32.4324%
AdamP on AJ-Lymph_transformed: T 1/3 | E 2/200 Ended | E Time: 3.205s | ~Time Left: 634.587s |  Train Loss: 1.0565 | Train Acc. 45.4850% | Test Loss: 9.4496 | Test Acc. 29.7297%
AdamP on AJ-Lymph_transformed: T 1/3 | E 3/200 Ended | E Time: 3.222s | ~Time Left: 634.725s |  Train Loss: 1.0343 | Train Acc. 53.8462% | Test Loss: 2.2774 | Test Acc. 35.1351%
AdamP on AJ-Lymph_transformed: T 1/3 | E 4/200 Ended | E Time: 3.228s | ~Time Left: 632.775s |  Train Loss: 0.9563 | Train Acc. 50.5017% | Test Loss: 1.4110 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 5/200 Ended | E Time: 3.210s | ~Time Left: 625.918s |  Train Loss: 1.0151 | Train Acc. 49.8328% | Test Loss: 0.9322 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 6/200 Ended | E Time: 3.244s | ~Time Left: 629.269s |  Train Loss: 0.9554 | Train Acc. 55.1839% | Test Loss: 0.9762 | Test Acc. 45.9459%
AdamP on AJ-Lymph_transformed: T 1/3 | E 7/200 Ended | E Time: 3.227s | ~Time Left: 622.881s |  Train Loss: 0.9042 | Train Acc. 56.1873% | Test Loss: 0.7246 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 8/200 Ended | E Time: 3.256s | ~Time Left: 625.121s |  Train Loss: 0.9264 | Train Acc. 60.5351% | Test Loss: 1.0001 | Test Acc. 43.2432%
AdamP on AJ-Lymph_transformed: T 1/3 | E 9/200 Ended | E Time: 3.257s | ~Time Left: 622.122s |  Train Loss: 0.8906 | Train Acc. 53.1773% | Test Loss: 0.7954 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 10/200 Ended | E Time: 3.205s | ~Time Left: 608.966s |  Train Loss: 0.9097 | Train Acc. 55.5184% | Test Loss: 1.4567 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 11/200 Ended | E Time: 3.193s | ~Time Left: 603.522s |  Train Loss: 0.9111 | Train Acc. 56.8562% | Test Loss: 1.2513 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 12/200 Ended | E Time: 3.194s | ~Time Left: 600.380s |  Train Loss: 0.8947 | Train Acc. 57.5251% | Test Loss: 1.4106 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 13/200 Ended | E Time: 3.351s | ~Time Left: 626.697s |  Train Loss: 0.8756 | Train Acc. 54.5150% | Test Loss: 0.6397 | Test Acc. 70.2703%
AdamP on AJ-Lymph_transformed: T 1/3 | E 14/200 Ended | E Time: 3.252s | ~Time Left: 604.869s |  Train Loss: 0.8209 | Train Acc. 61.2040% | Test Loss: 1.2155 | Test Acc. 45.9459%
AdamP on AJ-Lymph_transformed: T 1/3 | E 15/200 Ended | E Time: 3.414s | ~Time Left: 631.659s |  Train Loss: 0.8674 | Train Acc. 55.5184% | Test Loss: 0.9991 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 16/200 Ended | E Time: 3.242s | ~Time Left: 596.511s |  Train Loss: 0.8407 | Train Acc. 57.5251% | Test Loss: 0.7526 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 17/200 Ended | E Time: 3.178s | ~Time Left: 581.557s |  Train Loss: 0.8471 | Train Acc. 57.8595% | Test Loss: 0.7568 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 18/200 Ended | E Time: 3.228s | ~Time Left: 587.427s |  Train Loss: 0.8681 | Train Acc. 57.1906% | Test Loss: 1.0337 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 19/200 Ended | E Time: 3.221s | ~Time Left: 582.976s |  Train Loss: 0.8862 | Train Acc. 59.5318% | Test Loss: 0.9013 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 20/200 Ended | E Time: 3.240s | ~Time Left: 583.214s |  Train Loss: 0.8613 | Train Acc. 56.8562% | Test Loss: 0.8312 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 21/200 Ended | E Time: 3.220s | ~Time Left: 576.294s |  Train Loss: 0.8358 | Train Acc. 63.5452% | Test Loss: 0.9894 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 22/200 Ended | E Time: 3.246s | ~Time Left: 577.837s |  Train Loss: 0.8083 | Train Acc. 61.2040% | Test Loss: 0.7727 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 23/200 Ended | E Time: 3.272s | ~Time Left: 579.127s |  Train Loss: 0.8111 | Train Acc. 61.2040% | Test Loss: 1.1279 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 24/200 Ended | E Time: 3.376s | ~Time Left: 594.247s |  Train Loss: 0.8566 | Train Acc. 61.8729% | Test Loss: 0.6911 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 25/200 Ended | E Time: 3.256s | ~Time Left: 569.772s |  Train Loss: 0.8829 | Train Acc. 57.1906% | Test Loss: 0.7159 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 26/200 Ended | E Time: 3.218s | ~Time Left: 560.017s |  Train Loss: 0.8312 | Train Acc. 61.5385% | Test Loss: 2.2543 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 27/200 Ended | E Time: 3.320s | ~Time Left: 574.334s |  Train Loss: 0.8294 | Train Acc. 60.2007% | Test Loss: 0.6988 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 28/200 Ended | E Time: 3.214s | ~Time Left: 552.823s |  Train Loss: 0.8562 | Train Acc. 60.2007% | Test Loss: 0.6699 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 29/200 Ended | E Time: 3.280s | ~Time Left: 560.929s |  Train Loss: 0.8340 | Train Acc. 61.8729% | Test Loss: 0.6803 | Test Acc. 70.2703%
AdamP on AJ-Lymph_transformed: T 1/3 | E 30/200 Ended | E Time: 3.278s | ~Time Left: 557.286s |  Train Loss: 0.8341 | Train Acc. 62.5418% | Test Loss: 1.0550 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 31/200 Ended | E Time: 3.305s | ~Time Left: 558.465s |  Train Loss: 0.7884 | Train Acc. 60.2007% | Test Loss: 0.8958 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 32/200 Ended | E Time: 3.238s | ~Time Left: 544.016s |  Train Loss: 0.8050 | Train Acc. 66.8896% | Test Loss: 1.1076 | Test Acc. 45.9459%
AdamP on AJ-Lymph_transformed: T 1/3 | E 33/200 Ended | E Time: 3.255s | ~Time Left: 543.585s |  Train Loss: 0.8068 | Train Acc. 62.5418% | Test Loss: 0.5624 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 34/200 Ended | E Time: 3.233s | ~Time Left: 536.726s |  Train Loss: 0.7478 | Train Acc. 65.5518% | Test Loss: 1.0617 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 35/200 Ended | E Time: 3.207s | ~Time Left: 529.115s |  Train Loss: 0.7591 | Train Acc. 67.8930% | Test Loss: 0.5568 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 36/200 Ended | E Time: 3.229s | ~Time Left: 529.589s |  Train Loss: 0.8112 | Train Acc. 63.2107% | Test Loss: 0.6221 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 37/200 Ended | E Time: 3.212s | ~Time Left: 523.610s |  Train Loss: 0.8283 | Train Acc. 64.5485% | Test Loss: 0.9842 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 38/200 Ended | E Time: 3.273s | ~Time Left: 530.268s |  Train Loss: 0.7273 | Train Acc. 67.8930% | Test Loss: 0.6847 | Test Acc. 78.3784%
AdamP on AJ-Lymph_transformed: T 1/3 | E 39/200 Ended | E Time: 3.201s | ~Time Left: 515.434s |  Train Loss: 0.7219 | Train Acc. 65.2174% | Test Loss: 0.7050 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 40/200 Ended | E Time: 3.271s | ~Time Left: 523.352s |  Train Loss: 0.7798 | Train Acc. 65.2174% | Test Loss: 0.4236 | Test Acc. 81.0811%
AdamP on AJ-Lymph_transformed: T 1/3 | E 41/200 Ended | E Time: 3.220s | ~Time Left: 511.945s |  Train Loss: 0.7761 | Train Acc. 64.8829% | Test Loss: 0.6081 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 42/200 Ended | E Time: 3.317s | ~Time Left: 524.121s |  Train Loss: 0.6830 | Train Acc. 69.5652% | Test Loss: 0.6576 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 43/200 Ended | E Time: 3.222s | ~Time Left: 505.820s |  Train Loss: 0.7513 | Train Acc. 67.5585% | Test Loss: 0.7148 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 44/200 Ended | E Time: 3.244s | ~Time Left: 506.000s |  Train Loss: 0.7711 | Train Acc. 64.5485% | Test Loss: 0.6374 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 45/200 Ended | E Time: 3.240s | ~Time Left: 502.171s |  Train Loss: 0.7401 | Train Acc. 65.2174% | Test Loss: 1.0146 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 46/200 Ended | E Time: 3.180s | ~Time Left: 489.779s |  Train Loss: 0.6307 | Train Acc. 73.2441% | Test Loss: 0.6491 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 47/200 Ended | E Time: 3.248s | ~Time Left: 496.945s |  Train Loss: 0.7590 | Train Acc. 64.5485% | Test Loss: 0.8118 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 48/200 Ended | E Time: 3.214s | ~Time Left: 488.515s |  Train Loss: 0.7103 | Train Acc. 69.5652% | Test Loss: 0.5555 | Test Acc. 70.2703%
AdamP on AJ-Lymph_transformed: T 1/3 | E 49/200 Ended | E Time: 3.220s | ~Time Left: 486.273s |  Train Loss: 0.8265 | Train Acc. 63.8796% | Test Loss: 1.8255 | Test Acc. 43.2432%
