transferring data
Sun Jul  4 20:15:19 PDT 2021

Finished transferring
Sun Jul  4 20:15:24 PDT 2021

Adas: Argument Parser Options
---------------------------------------------
    config              : PostTrainingConfigs/AJ-Lymph_transformed_testing/AdamP/lr-0.001-config-AdamP.yaml
    data                : /localscratch/zhan8425.6958539.0        
    output              : ADP_post_trained/AJ-Lymph_transformed/AdamP/output/fine_tuning
    checkpoint          : ADP_post_trained/AJ-Lymph_transformed/AdamP/checkpoint/fine_tuning/lr-0.001
    resume              : None                                    
    pretrained_model    : /home/zhan8425/projects/def-plato/zhan8425/HistoKT/.Adas-checkpoint/ADP/best_trial_2.pth.tar
    freeze_encoder      : 1                                       
    root                : .                                       
    save_freq           : 25                                      
    cpu                 : 0                                       
    gpu                 : 0                                       
    mpd                 : 0                                       
    dist_url            : tcp://127.0.0.1:23456                   
    dist_backend        : nccl                                    
    world_size          : -1                                      
    rank                : -1                                      
---------------------------------------------
Adas: Output dir ADP_post_trained/AJ-Lymph_transformed/AdamP/output/fine_tuning does not exist, building
Adas: Notice: early stop will not be used as it was set to -1.0, training till completion
Adas: Experiment Configuration
---------------------------------------------
    dataset              AJ-Lymph_transformed
    network              ResNet18            
    optimizer            AdamP               
    scheduler            None                
    level                L3Only              
    color_kwargs         {'augmentation': 'Color-Distortion', 'distortion': 0.3}
    degree_of_rotation   45                  
    vertical_flipping    0.5                 
    horizontal_flipping  0.5                 
    horizontal_shift     0.1                 
    vertical_shift       0.1                 
    gaussian_blur        0                   
    kernel_size          9                   
    variance             0.1                 
    cutout               0                   
    n_holes              1                   
    cutout_length        16                  
    init_lr              0.001               
    early_stop_threshold -1.0                
    optimizer_kwargs     {'weight_decay': 0.0005}
    scheduler_kwargs     {'gamma': 0.5, 'step_size': 20.0}
    p                    1                   
    start_trial          0                   
    n_trials             3                   
    num_workers          4                   
    max_epochs           200                 
    mini_batch_size      32                  
    loss                 cross_entropy       
    early_stop_patience  10                  
---------------------------------------------
Adas: Pytorch device is set to cuda
AdamP on AJ-Lymph_transformed: T 1/3 | E 1/200 Ended | E Time: 4.326s | ~Time Left: 860.871s |  Train Loss: 1.5122 | Train Acc. 38.4615% | Test Loss: 9.1422 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 2/200 Ended | E Time: 3.261s | ~Time Left: 645.771s |  Train Loss: 1.1041 | Train Acc. 48.8294% | Test Loss: 6.1092 | Test Acc. 37.8378%
AdamP on AJ-Lymph_transformed: T 1/3 | E 3/200 Ended | E Time: 3.284s | ~Time Left: 646.891s |  Train Loss: 0.9907 | Train Acc. 52.8428% | Test Loss: 1.9144 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 4/200 Ended | E Time: 3.311s | ~Time Left: 648.986s |  Train Loss: 0.9625 | Train Acc. 51.8395% | Test Loss: 0.9656 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 5/200 Ended | E Time: 3.256s | ~Time Left: 635.004s |  Train Loss: 0.8521 | Train Acc. 59.1973% | Test Loss: 1.1858 | Test Acc. 43.2432%
AdamP on AJ-Lymph_transformed: T 1/3 | E 6/200 Ended | E Time: 3.291s | ~Time Left: 638.421s |  Train Loss: 0.9638 | Train Acc. 52.1739% | Test Loss: 0.7781 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 7/200 Ended | E Time: 3.270s | ~Time Left: 631.060s |  Train Loss: 0.9788 | Train Acc. 56.5217% | Test Loss: 0.9433 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 8/200 Ended | E Time: 3.252s | ~Time Left: 624.474s |  Train Loss: 0.9292 | Train Acc. 55.5184% | Test Loss: 1.0561 | Test Acc. 45.9459%
AdamP on AJ-Lymph_transformed: T 1/3 | E 9/200 Ended | E Time: 3.344s | ~Time Left: 638.791s |  Train Loss: 0.8751 | Train Acc. 56.5217% | Test Loss: 0.6842 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 10/200 Ended | E Time: 3.285s | ~Time Left: 624.115s |  Train Loss: 0.8780 | Train Acc. 54.5150% | Test Loss: 0.7943 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 11/200 Ended | E Time: 3.264s | ~Time Left: 616.910s |  Train Loss: 0.8796 | Train Acc. 55.1839% | Test Loss: 0.8849 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 12/200 Ended | E Time: 3.544s | ~Time Left: 666.298s |  Train Loss: 0.8733 | Train Acc. 56.8562% | Test Loss: 1.2497 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 13/200 Ended | E Time: 3.254s | ~Time Left: 608.419s |  Train Loss: 0.8865 | Train Acc. 57.1906% | Test Loss: 0.9099 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 14/200 Ended | E Time: 3.273s | ~Time Left: 608.722s |  Train Loss: 0.9112 | Train Acc. 55.5184% | Test Loss: 0.8866 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 15/200 Ended | E Time: 3.278s | ~Time Left: 606.404s |  Train Loss: 0.8339 | Train Acc. 56.5217% | Test Loss: 0.7454 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 16/200 Ended | E Time: 3.272s | ~Time Left: 602.025s |  Train Loss: 0.8222 | Train Acc. 59.8662% | Test Loss: 0.7636 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 17/200 Ended | E Time: 3.307s | ~Time Left: 605.101s |  Train Loss: 0.8677 | Train Acc. 58.1940% | Test Loss: 0.9427 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 18/200 Ended | E Time: 3.272s | ~Time Left: 595.581s |  Train Loss: 0.7948 | Train Acc. 60.2007% | Test Loss: 0.6559 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 19/200 Ended | E Time: 3.262s | ~Time Left: 590.350s |  Train Loss: 0.8288 | Train Acc. 62.8763% | Test Loss: 0.8671 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 20/200 Ended | E Time: 3.349s | ~Time Left: 602.739s |  Train Loss: 0.8150 | Train Acc. 58.8629% | Test Loss: 0.8392 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 21/200 Ended | E Time: 3.273s | ~Time Left: 585.933s |  Train Loss: 0.7746 | Train Acc. 59.8662% | Test Loss: 0.6173 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 22/200 Ended | E Time: 3.297s | ~Time Left: 586.836s |  Train Loss: 0.7895 | Train Acc. 65.8863% | Test Loss: 0.8828 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 23/200 Ended | E Time: 3.279s | ~Time Left: 580.469s |  Train Loss: 0.8307 | Train Acc. 61.5385% | Test Loss: 0.7610 | Test Acc. 43.2432%
AdamP on AJ-Lymph_transformed: T 1/3 | E 24/200 Ended | E Time: 3.275s | ~Time Left: 576.327s |  Train Loss: 0.7853 | Train Acc. 62.2074% | Test Loss: 0.9148 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 25/200 Ended | E Time: 3.284s | ~Time Left: 574.709s |  Train Loss: 0.8973 | Train Acc. 61.2040% | Test Loss: 1.5698 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 26/200 Ended | E Time: 3.566s | ~Time Left: 620.461s |  Train Loss: 0.8796 | Train Acc. 59.5318% | Test Loss: 1.0001 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 27/200 Ended | E Time: 3.286s | ~Time Left: 568.431s |  Train Loss: 0.8082 | Train Acc. 61.5385% | Test Loss: 0.8060 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 28/200 Ended | E Time: 3.286s | ~Time Left: 565.180s |  Train Loss: 0.7707 | Train Acc. 62.2074% | Test Loss: 0.8617 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 29/200 Ended | E Time: 3.278s | ~Time Left: 560.539s |  Train Loss: 0.8441 | Train Acc. 59.8662% | Test Loss: 0.7524 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 30/200 Ended | E Time: 3.330s | ~Time Left: 566.083s |  Train Loss: 0.8453 | Train Acc. 59.5318% | Test Loss: 0.6756 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 31/200 Ended | E Time: 3.357s | ~Time Left: 567.340s |  Train Loss: 0.7831 | Train Acc. 64.2140% | Test Loss: 0.6101 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 32/200 Ended | E Time: 3.273s | ~Time Left: 549.932s |  Train Loss: 0.7642 | Train Acc. 61.2040% | Test Loss: 1.4806 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 33/200 Ended | E Time: 3.251s | ~Time Left: 542.850s |  Train Loss: 0.8429 | Train Acc. 59.5318% | Test Loss: 0.8701 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 34/200 Ended | E Time: 3.289s | ~Time Left: 545.946s |  Train Loss: 0.7881 | Train Acc. 64.8829% | Test Loss: 1.4018 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 35/200 Ended | E Time: 3.263s | ~Time Left: 538.463s |  Train Loss: 0.8574 | Train Acc. 60.5351% | Test Loss: 1.0319 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 36/200 Ended | E Time: 3.352s | ~Time Left: 549.795s |  Train Loss: 0.7983 | Train Acc. 65.2174% | Test Loss: 1.0019 | Test Acc. 51.3514%
AdamP on AJ-Lymph_transformed: T 1/3 | E 37/200 Ended | E Time: 3.325s | ~Time Left: 541.954s |  Train Loss: 0.7744 | Train Acc. 64.2140% | Test Loss: 0.7271 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 38/200 Ended | E Time: 3.288s | ~Time Left: 532.710s |  Train Loss: 0.8006 | Train Acc. 63.8796% | Test Loss: 1.7685 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 39/200 Ended | E Time: 3.280s | ~Time Left: 528.029s |  Train Loss: 0.7939 | Train Acc. 61.5385% | Test Loss: 0.6318 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 40/200 Ended | E Time: 3.291s | ~Time Left: 526.595s |  Train Loss: 0.8145 | Train Acc. 61.2040% | Test Loss: 0.4969 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 41/200 Ended | E Time: 3.399s | ~Time Left: 540.474s |  Train Loss: 0.8110 | Train Acc. 64.8829% | Test Loss: 0.7977 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 42/200 Ended | E Time: 3.296s | ~Time Left: 520.836s |  Train Loss: 0.8068 | Train Acc. 64.8829% | Test Loss: 0.9083 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 43/200 Ended | E Time: 3.268s | ~Time Left: 513.091s |  Train Loss: 0.6851 | Train Acc. 69.2308% | Test Loss: 0.5589 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 44/200 Ended | E Time: 3.311s | ~Time Left: 516.477s |  Train Loss: 0.8019 | Train Acc. 63.8796% | Test Loss: 0.9698 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 45/200 Ended | E Time: 3.295s | ~Time Left: 510.750s |  Train Loss: 0.7717 | Train Acc. 63.2107% | Test Loss: 0.8901 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 46/200 Ended | E Time: 3.490s | ~Time Left: 537.387s |  Train Loss: 0.7475 | Train Acc. 65.2174% | Test Loss: 0.7631 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 47/200 Ended | E Time: 3.352s | ~Time Left: 512.847s |  Train Loss: 0.6870 | Train Acc. 69.5652% | Test Loss: 0.7148 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 48/200 Ended | E Time: 3.288s | ~Time Left: 499.831s |  Train Loss: 0.7034 | Train Acc. 69.5652% | Test Loss: 1.0224 | Test Acc. 48.6487%
AdamP on AJ-Lymph_transformed: T 1/3 | E 49/200 Ended | E Time: 3.324s | ~Time Left: 501.879s |  Train Loss: 0.7021 | Train Acc. 67.8930% | Test Loss: 0.7012 | Test Acc. 75.6757%
AdamP on AJ-Lymph_transformed: T 1/3 | E 50/200 Ended | E Time: 3.322s | ~Time Left: 498.233s |  Train Loss: 0.7084 | Train Acc. 67.5585% | Test Loss: 1.0347 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 51/200 Ended | E Time: 3.776s | ~Time Left: 562.659s |  Train Loss: 0.6884 | Train Acc. 66.2207% | Test Loss: 0.7008 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 52/200 Ended | E Time: 3.296s | ~Time Left: 487.878s |  Train Loss: 0.7395 | Train Acc. 64.2140% | Test Loss: 0.9860 | Test Acc. 70.2703%
AdamP on AJ-Lymph_transformed: T 1/3 | E 53/200 Ended | E Time: 3.309s | ~Time Left: 486.408s |  Train Loss: 0.7354 | Train Acc. 70.2341% | Test Loss: 1.1083 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 54/200 Ended | E Time: 3.333s | ~Time Left: 486.628s |  Train Loss: 0.7930 | Train Acc. 62.2074% | Test Loss: 0.7576 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 55/200 Ended | E Time: 3.319s | ~Time Left: 481.237s |  Train Loss: 0.7895 | Train Acc. 59.5318% | Test Loss: 0.6928 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 56/200 Ended | E Time: 3.289s | ~Time Left: 473.649s |  Train Loss: 0.7499 | Train Acc. 67.8930% | Test Loss: 0.5108 | Test Acc. 75.6757%
AdamP on AJ-Lymph_transformed: T 1/3 | E 57/200 Ended | E Time: 3.291s | ~Time Left: 470.581s |  Train Loss: 0.7383 | Train Acc. 68.5619% | Test Loss: 0.6164 | Test Acc. 70.2703%
AdamP on AJ-Lymph_transformed: T 1/3 | E 58/200 Ended | E Time: 3.429s | ~Time Left: 486.932s |  Train Loss: 0.7153 | Train Acc. 67.2241% | Test Loss: 0.6492 | Test Acc. 78.3784%
AdamP on AJ-Lymph_transformed: T 1/3 | E 59/200 Ended | E Time: 3.337s | ~Time Left: 470.530s |  Train Loss: 0.7272 | Train Acc. 67.5585% | Test Loss: 0.6165 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 60/200 Ended | E Time: 3.285s | ~Time Left: 459.932s |  Train Loss: 0.7008 | Train Acc. 69.2308% | Test Loss: 0.6465 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 61/200 Ended | E Time: 3.800s | ~Time Left: 528.149s |  Train Loss: 0.6865 | Train Acc. 71.5719% | Test Loss: 0.6538 | Test Acc. 75.6757%
AdamP on AJ-Lymph_transformed: T 1/3 | E 62/200 Ended | E Time: 3.320s | ~Time Left: 458.096s |  Train Loss: 0.7292 | Train Acc. 67.2241% | Test Loss: 0.6674 | Test Acc. 54.0541%
AdamP on AJ-Lymph_transformed: T 1/3 | E 63/200 Ended | E Time: 3.286s | ~Time Left: 450.252s |  Train Loss: 0.6880 | Train Acc. 68.5619% | Test Loss: 0.8253 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 64/200 Ended | E Time: 3.306s | ~Time Left: 449.651s |  Train Loss: 0.7331 | Train Acc. 70.2341% | Test Loss: 1.2118 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 65/200 Ended | E Time: 3.284s | ~Time Left: 443.336s |  Train Loss: 0.7109 | Train Acc. 69.2308% | Test Loss: 1.2137 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 66/200 Ended | E Time: 3.284s | ~Time Left: 440.060s |  Train Loss: 0.7118 | Train Acc. 67.2241% | Test Loss: 1.8475 | Test Acc. 40.5405%
AdamP on AJ-Lymph_transformed: T 1/3 | E 67/200 Ended | E Time: 3.268s | ~Time Left: 434.671s |  Train Loss: 0.7712 | Train Acc. 63.2107% | Test Loss: 0.6480 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 68/200 Ended | E Time: 3.438s | ~Time Left: 453.764s |  Train Loss: 0.6692 | Train Acc. 70.5686% | Test Loss: 0.7748 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 69/200 Ended | E Time: 3.290s | ~Time Left: 430.947s |  Train Loss: 0.6288 | Train Acc. 74.2475% | Test Loss: 0.9982 | Test Acc. 72.9730%
AdamP on AJ-Lymph_transformed: T 1/3 | E 70/200 Ended | E Time: 3.383s | ~Time Left: 439.771s |  Train Loss: 0.6951 | Train Acc. 71.2375% | Test Loss: 1.2332 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 71/200 Ended | E Time: 3.306s | ~Time Left: 426.496s |  Train Loss: 0.6607 | Train Acc. 71.5719% | Test Loss: 0.6435 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 72/200 Ended | E Time: 3.487s | ~Time Left: 446.354s |  Train Loss: 0.7204 | Train Acc. 66.8896% | Test Loss: 0.6419 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 73/200 Ended | E Time: 3.281s | ~Time Left: 416.679s |  Train Loss: 0.7640 | Train Acc. 65.5518% | Test Loss: 0.8631 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 74/200 Ended | E Time: 3.490s | ~Time Left: 439.682s |  Train Loss: 0.7609 | Train Acc. 67.5585% | Test Loss: 0.8975 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 75/200 Ended | E Time: 3.308s | ~Time Left: 413.486s |  Train Loss: 0.7367 | Train Acc. 65.8863% | Test Loss: 1.1568 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 76/200 Ended | E Time: 3.275s | ~Time Left: 406.145s |  Train Loss: 0.7009 | Train Acc. 69.2308% | Test Loss: 0.7927 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 77/200 Ended | E Time: 3.295s | ~Time Left: 405.227s |  Train Loss: 0.6445 | Train Acc. 70.2341% | Test Loss: 0.5710 | Test Acc. 78.3784%
AdamP on AJ-Lymph_transformed: T 1/3 | E 78/200 Ended | E Time: 3.342s | ~Time Left: 407.768s |  Train Loss: 0.6896 | Train Acc. 72.5752% | Test Loss: 0.6416 | Test Acc. 70.2703%
AdamP on AJ-Lymph_transformed: T 1/3 | E 79/200 Ended | E Time: 3.370s | ~Time Left: 407.806s |  Train Loss: 0.7021 | Train Acc. 69.8997% | Test Loss: 0.7281 | Test Acc. 62.1622%
AdamP on AJ-Lymph_transformed: T 1/3 | E 80/200 Ended | E Time: 3.314s | ~Time Left: 397.711s |  Train Loss: 0.7474 | Train Acc. 66.8896% | Test Loss: 1.6023 | Test Acc. 56.7568%
AdamP on AJ-Lymph_transformed: T 1/3 | E 81/200 Ended | E Time: 3.278s | ~Time Left: 390.047s |  Train Loss: 0.7360 | Train Acc. 66.2207% | Test Loss: 0.7494 | Test Acc. 67.5676%
AdamP on AJ-Lymph_transformed: T 1/3 | E 82/200 Ended | E Time: 3.304s | ~Time Left: 389.841s |  Train Loss: 0.6934 | Train Acc. 65.8863% | Test Loss: 0.8806 | Test Acc. 59.4595%
AdamP on AJ-Lymph_transformed: T 1/3 | E 83/200 Ended | E Time: 3.279s | ~Time Left: 383.598s |  Train Loss: 0.6880 | Train Acc. 69.8997% | Test Loss: 0.6075 | Test Acc. 64.8649%
AdamP on AJ-Lymph_transformed: T 1/3 | E 84/200 Ended | E Time: 3.680s | ~Time Left: 426.871s |  Train Loss: 0.7340 | Train Acc. 70.9030% | Test Loss: 0.7166 | Test Acc. 62.1622%
