transferring data
Mon Jun 21 12:23:21 PDT 2021

Finished transferring
Mon Jun 21 12:23:23 PDT 2021

Adas: Argument Parser Options
---------------------------------------------
    config              : HistoKTconfigs/BACH_transformed-configAdas.yaml
    data                : /localscratch/zhan8425.5632356.0        
    output              : .Adas-output/BACH_transformed           
    checkpoint          : .Adas-checkpoint/BACH_transformed       
    resume              : None                                    
    root                : .                                       
    save_freq           : 25                                      
    cpu                 : 0                                       
    gpu                 : 0                                       
    mpd                 : 0                                       
    dist_url            : tcp://127.0.0.1:23456                   
    dist_backend        : nccl                                    
    world_size          : -1                                      
    rank                : -1                                      
---------------------------------------------
Adas: Notice: early stop will not be used as it was set to -1.0, training till completion
Adas: Experiment Configuration
---------------------------------------------
    dataset              BACH_transformed    
    network              ResNet18            
    optimizer            Adas                
    scheduler            None                
    level                L3Only              
    color_kwargs         {'augmentation': 'Color-Distortion', 'distortion': 0.3}
    degree_of_rotation   45                  
    vertical_flipping    0.5                 
    horizontal_flipping  0.5                 
    horizontal_shift     0.1                 
    vertical_shift       0.1                 
    gaussian_blur        0                   
    kernel_size          9                   
    variance             0.1                 
    cutout               0                   
    n_holes              1                   
    cutout_length        16                  
    init_lr              0.03                
    early_stop_threshold -1.0                
    optimizer_kwargs     {'momentum': 0.9, 'weight_decay': 0.0005, 'beta': 0.98, 'linear': 0.0, 'gamma': 0.5, 'step_size': 25.0}
    scheduler_kwargs     {}
    p                    1                   
    start_trial          0                   
    n_trials             3                   
    num_workers          4                   
    max_epochs           250                 
    mini_batch_size      32                  
    loss                 cross_entropy       
    early_stop_patience  10                  
---------------------------------------------
Adas: Pytorch device is set to cuda
Adas on BACH_transformed: T 1/3 | E 1/250 Ended | E Time: 9.927s | ~Time Left: 2471.929s |  Train Loss: 1.9119 | Train Acc. 29.9582% | Test Loss: 10.6001 | Test Acc. 27.9167%
Adas on BACH_transformed: T 1/3 | E 2/250 Ended | E Time: 6.917s | ~Time Left: 1715.452s |  Train Loss: 1.5874 | Train Acc. 29.4363% | Test Loss: 1.4056 | Test Acc. 33.3333%
Adas on BACH_transformed: T 1/3 | E 3/250 Ended | E Time: 7.066s | ~Time Left: 1745.290s |  Train Loss: 1.4509 | Train Acc. 31.5240% | Test Loss: 1.2933 | Test Acc. 37.9167%
Adas on BACH_transformed: T 1/3 | E 4/250 Ended | E Time: 6.905s | ~Time Left: 1698.548s |  Train Loss: 1.4573 | Train Acc. 30.7933% | Test Loss: 1.3659 | Test Acc. 32.0833%
Adas on BACH_transformed: T 1/3 | E 5/250 Ended | E Time: 7.191s | ~Time Left: 1761.853s |  Train Loss: 1.3579 | Train Acc. 35.3862% | Test Loss: 3.5820 | Test Acc. 19.5833%
Adas on BACH_transformed: T 1/3 | E 6/250 Ended | E Time: 7.340s | ~Time Left: 1790.993s |  Train Loss: 1.3882 | Train Acc. 33.4029% | Test Loss: 1.2625 | Test Acc. 45.8333%
Adas on BACH_transformed: T 1/3 | E 7/250 Ended | E Time: 6.890s | ~Time Left: 1674.285s |  Train Loss: 1.2986 | Train Acc. 41.5449% | Test Loss: 1.2697 | Test Acc. 41.6667%
Adas on BACH_transformed: T 1/3 | E 8/250 Ended | E Time: 6.933s | ~Time Left: 1677.697s |  Train Loss: 1.3186 | Train Acc. 38.6221% | Test Loss: 1.2968 | Test Acc. 41.6667%
Adas on BACH_transformed: T 1/3 | E 9/250 Ended | E Time: 6.870s | ~Time Left: 1655.725s |  Train Loss: 1.3237 | Train Acc. 37.3695% | Test Loss: 1.2952 | Test Acc. 42.0833%
Adas on BACH_transformed: T 1/3 | E 10/250 Ended | E Time: 7.019s | ~Time Left: 1684.600s |  Train Loss: 1.3212 | Train Acc. 38.7265% | Test Loss: 1.3647 | Test Acc. 35.4167%
Adas on BACH_transformed: T 1/3 | E 11/250 Ended | E Time: 8.244s | ~Time Left: 1970.328s |  Train Loss: 1.3348 | Train Acc. 37.9958% | Test Loss: 1.4075 | Test Acc. 32.9167%
